rating,acidity_structure,aftertaste,aroma,body,flavor,agtron,coffee_origin,est_price,roast_level,roaster,roaster_location
93,9.0,8.0,9.0,8.0,9.0,58/77,"Chimaltenango, Guatemala",$22.00/12 ounces,Medium-Light,Temple Coffee,"Sacramento, California"
95,9.0,9.0,9.0,9.0,9.0,64/82,"Huila Department, Colombia",$26.00/10 ounces,Light,Bird Rock Coffee Roasters,"San Diego, California"
92,8.0,8.0,9.0,9.0,8.0,64/88,"Eastern Highlands, Papua New Guinea",$17.00/12 ounces,Light,Magnolia Coffee,"Charlotte, North Carolina"
95,8.0,9.0,10.0,9.0,9.0,68/92,"Sidamo growing region, southern Ethiopia",$24.00/12 ounces,Light,Per’la Specialty Roasters,"Miami, Florida"
92,8.0,7.0,9.0,9.0,9.0,60/77,"Atok Benguet, northern Philippines",$17.50/6 ounces,Medium-Light,Mostra Coffee,"San Diego, California"
93,8.0,8.0,9.0,9.0,9.0,62/78,"Urrao, Antioquia, Colombia",$25.00/12 ounces,Medium-Light,Mostra Coffee,"San Diego,  California"
94,9.0,9.0,,9.0,9.0,57/73,"Los Santos, Tarrazú, Costa Rica",$17.50/12 ounces,Medium-Light,RamsHead Coffee Roasters,"Bozeman, Montana"
92,8.0,8.0,9.0,8.0,9.0,57/73,"West Valley, Costa Rica",NT $450/227 grams,Medium-Light,1980 CAFE,"Tainan City, Taiwan"
93,8.0,8.0,9.0,9.0,9.0,62/79,"Sidama growing region, southern Ethiopia",NT $450/227 grams,Medium-Light,1980 CAFE,"Tainan City, Taiwan"
93,9.0,8.0,9.0,8.0,9.0,64/80,"Guji Zone, Oromia Region, Southern Ethiopia",NT $450/227 grams,Light,1980 CAFE,"Tainan City, Taiwan"
94,9.0,8.0,9.0,9.0,9.0,62/80,"Urrao, Antioquia Department, Colombia",$19.00/6 ounces,Light,Paradise Roasters,"Minneapolis, Minnesota"
94,9.0,8.0,9.0,9.0,9.0,58/78,"Gedeb District, Gedeo Zone, southern Ethiopia",$19.00/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
95,9.0,9.0,9.0,9.0,9.0,57/74,"Ka‘ū growing region, Big Island of Hawai’i",$30.00/4 ounces,Medium-Light,Paradise Roasters,"Minneapolis, Minnesota"
90,8.0,7.0,8.0,8.0,9.0,50/77,"Carmo de Minas growing region, northeastern Minas Gerais State, Brazil",$17.95/12 ounces,Medium-Light,Trident Coffee,"San Diego, California"
92,,8.0,8.0,8.0,9.0,47/61,"Cajamarca region, Peru",$17.95/12 ounces,Medium,Trident Coffee,"San Diego, California"
94,9.0,8.0,9.0,9.0,9.0,58/76,"Alishan, Chia-Yi, Taiwan",NT $550/4 ounces,Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
95,9.0,9.0,9.0,9.0,9.0,60/80,"Gedeo Zone, SNNP Region, southern Ethiopia",NT $350/8 ounces,Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
92,,8.0,8.0,8.0,9.0,57/75,Colombia; Guatemala; Ethiopia,NT $420/200 grams,Medium-Light,Cafe Fugu Roasters,"Taipei City, Taiwan"
92,8.0,8.0,9.0,9.0,9.0,57/75,"Tarrazu growing region, Costa Rica",NT $630/200 grams,Medium-Light,Cafe Fugu Roasters,"Taipei City, Taiwan"
94,9.0,8.0,9.0,9.0,9.0,60/76,"Guji Zone, Oromia Region, Southern Ethiopia",NT $880/200 grams,Medium-Light,Quartet Kaffe,"Taipei, Taiwan"
94,,8.0,9.0,9.0,9.0,56/72,Ethiopia; Kenya; Bolivia; Panama,NT $500/200 grams,Medium-Light,Quartet Kaffe,"Taipei, Taiwan"
95,9.0,9.0,9.0,9.0,9.0,60/77,"Boquete growing region, Panama",NT $1250/60 grams,Medium-Light,Quartet Kaffe,"Taipei, Taiwan"
91,8.0,7.0,8.0,9.0,9.0,44/60,Ethiopia; Sumatra,$18.99/16 ounces,Medium,Brand 425,"Kountze, Texas"
94,9.0,8.0,9.0,9.0,9.0,62/78,"Apaneca-Ilamatepec, El Salvador",$14.00/230 grams,Medium-Light,Interpretation Coffee,"Chia-Yi, Taiwan"
91,8.0,8.0,8.0,8.0,9.0,58/75,Sumatra; Colombia,NT $500/227 grams,Medium-Light,Desolate Café,"Nantou, Taiwan"
92,9.0,8.0,8.0,8.0,9.0,62/80,"Yirgacheffe growing region, southern Ethiopia",NT $600/227 grams,Light,Desolate Café,"Nantou, Taiwan"
93,9.0,8.0,9.0,8.0,9.0,60/78,"Atok Benguet, northern Philippines",$30.00/12 ounces,Medium-Light,Mostra Coffee,"San Diego, California"
95,9.0,9.0,9.0,9.0,9.0,60/78,"Huehuetenango, Guatemala",$28.00/12 ounces,Medium-Light,PT's Coffee Roasting Co.,"Topeka, Kansas"
91,8.0,8.0,8.0,8.0,9.0,65/84,"Guji Zone, Oromia Region, southern Ethiopia",$22.00/12 ounces,Light,Drink Coffee Do Stuff,"Truckee, California"
92,9.0,8.0,8.0,8.0,9.0,62/78,"Atiquizaya, Apaneca-Ilamatepec Mountains, El Salvador",$19.00/12 ounces,Medium-Light,Backporch Coffee Roasters,"Bend, Oregon"
92,8.0,8.0,9.0,8.0,9.0,57/75,"Guji Zone, Oromia Region, Southern Ethiopia",$20.00/12 ounces,Medium-Light,Breck Coffee Roasters,"Breckenridge, Colorado"
92,9.0,8.0,8.0,8.0,9.0,58/78,Tanzania,$21.00/12 ounces,Medium-Light,Pink Elephant Coffee,"Park City, Utah"
92,8.0,8.0,9.0,8.0,9.0,64/82,Ethiopia,$19.00/12 ounces,Light,Big Creek Coffee Roasters,"Hamilton, Montana"
92,8.0,8.0,9.0,8.0,9.0,58/78,"Kiambu County, Kenya",$24.00/12 ounces,Medium-Light,Noble Coffee,"Ashland, Oregon"
93,9.0,8.0,9.0,8.0,9.0,62/80,"Nyeri County, Kenya",$22.00/10 ounces,Light,Color Coffee,"Eagle, Colorado"
93,8.0,8.0,9.0,9.0,9.0,62/82,"Guji Zone, Oromia Region, Southern Ethiopia",$20.00/12 ounces,Light,Nomadic Bean,"Jackson Hole, Wyoming"
93,9.0,8.0,9.0,8.0,9.0,57/74,"Kiambu County, Kenya",$19.95/12 ounces,Medium-Light,Durango Coffee Company,"Durango, Colorado"
94,9.0,8.0,9.0,9.0,9.0,60/77,"Boquete growing region, Panama",$15.00/8 ounces,Medium-Light,Vermont Artisan Coffee & Tea,"Waterbury Center, Vermont"
93,8.0,8.0,9.0,9.0,9.0,60/77,"Apaneca-Ilamatepec growing region, El Salvador",$20.95/12 ounces,Medium-Light,Roadmap CoffeeWorks,"Lexington, Virginia"
94,9.0,8.0,9.0,9.0,9.0,64/82,"Odo Shakiso District, Guji Zone, southern Ethiopia",$20.95/12 ounces,Light,Roadmap CoffeeWorks,"Lexington, Virginia"
92,,8.0,8.0,8.0,9.0,58/74,"Kabare, South Kivu Province, Democratic Republic of the Congo",$18.00/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
93,,8.0,9.0,9.0,9.0,60/76,"West Valley growing region, Costa Rica",$20.00/8 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
94,9.0,8.0,9.0,9.0,9.0,59/74,"Ka‘u growing region, Big Island of Hawai’i",$30.00/4 ounces,Medium-Light,Paradise Roasters,"Hilo, Hawaii"
94,,8.0,9.0,9.0,9.0,58/77,"Kabiufa, Eastern Highlands, Papua New Guinea",$20.00/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
93,8.0,8.0,9.0,9.0,9.0,56/77,Ethiopia; Costa Rica,NT $500/227 grams,Medium-Light,Desolate Café,"Nantou, Taiwan"
95,9.0,9.0,9.0,9.0,9.0,64/84,"Boquete growing region, western Panama",$60.00/150 grams,Light,modcup coffee,"Jersey City, New Jersey"
94,9.0,8.0,9.0,9.0,9.0,57/75,"San José de Minas, Pichincha Province, Ecuador",$25.00/8 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
94,9.0,8.0,9.0,9.0,9.0,60/78,"Piedra Candela, Chiriqui Province, far western Panama",$50.00/4 ounces,Medium-Light,Dragonfly Coffee Roasters,"Henderson, Nevada"
94,9.0,8.0,9.0,9.0,9.0,58/76,"Vereda Santa Rita, Manizales, Caldas, Colombia",$18.00/8 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
95,9.0,9.0,9.0,9.0,9.0,60/78,"Piedra Candela, Chiriqui Province, far western Panama",$50.00/4 ounces,Medium-Light,Dragonfly Coffee Roasters,"Henderson, Nevada"
95,9.0,9.0,9.0,9.0,9.0,58/78,"Agaro Gera, Jimma Zone, Oromia State, Ethiopia",$19.00/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
90,8.0,8.0,8.0,8.0,8.0,54/72,"Cau Dat, southwest Vietnam",$8.00/4 ounces,Medium-Light,Peach Coffee Roasters,"St. Johns, Georgia"
92,8.0,8.0,9.0,8.0,9.0,58/78,"Antioquia Department, Colombia",$18.50/16 ounces,Medium-Light,Coffee By Design,"Portland, Maine"
93,8.0,8.0,9.0,9.0,9.0,60/78,"Djimmah, Oromia Region, Ethiopia",$24.00/12 ounces,Medium-Light,Coffee By Design,"Portland, Maine"
94,9.0,8.0,9.0,9.0,9.0,62/80,"Aceh Province, Sumatra, Indonesia",$21.50/16 ounces,Light,Coffee By Design,"Portland, Maine"
94,9.0,8.0,9.0,9.0,9.0,58/76,"Aceh Province, Sumatra, Indonesia",$21.00/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
92,8.0,8.0,9.0,8.0,9.0,56/78,"Pitalito growing region, Huila Department, Colombia",$16.99/12 ounces,Medium-Light,Topeca Coffee Roasters,"Tulsa, Oklahoma"
92,8.0,8.0,9.0,8.0,9.0,62/72,"Monte Verde, Santa Ana Department, central El Salvador",$15.00/12 ounces,Medium-Light,Speedwell Coffee,"Plymouth, Massachusetts"
93,8.0,9.0,9.0,8.0,9.0,63/80,"Guji Zone, Oromia Region, Ethiopia",NT $500/200 grams,Light,St1 Cafe/Work Room,"Tainan City, Taiwan"
93,8.0,8.0,9.0,9.0,9.0,55/85,"Eastern Highlands, Papua New Guinea",$22.00/12 ounces,Medium-Light,Red Rooster Coffee Roaster,"Floyd, Virginia"
93,9.0,8.0,9.0,8.0,9.0,52/87,"Bombe Village, Bensa District, Sidamo growing region, Ethiopia",NT $650/225 grams,Medium-Light,MK Coffee Roasters,"Taipei, Taiwan"
93,8.0,8.0,9.0,9.0,9.0,58/74,"Mirado Village, Bensa District, Sidama Zone, Ethiopia",$13.00/12 ounces,Medium-Light,Fieldheads Coffee Roasting,"Bigfork, Montana"
93,9.0,8.0,9.0,8.0,9.0,60/80,"Kochere District, Gedeo Zone, Ethiopia",NT $400/16 ounces,Medium-Light,Evie's Cafe,"Chia-Yi, Taiwan"
93,8.0,8.0,9.0,9.0,9.0,51/72,"Kochere District, Gedeo Zone, Ethiopia",$12.00/12 ounces,Medium-Light,Cup to Cup Coffee Roasters,"Savannah, Georgia"
93,9.0,8.0,9.0,8.0,9.0,64/80,"Guji Zone, Oromia Region, southern Ethiopia",NT $429/8 ounces,Light,Buon Caffe,"Taipei, Taiwan"
93,8.0,8.0,9.0,9.0,9.0,60/77,"Aceh Province, Sumatra, Indonesia",NT $399/8 ounces,Medium-Light,Buon Caffe,"Taipei, Taiwan"
91,8.0,7.0,8.0,9.0,9.0,59/76,"La Coipa, Cajamarca, Peru",$19.95/12 ounces,Medium-Light,Roadmap CoffeeWorks,"Lexington, Virginia"
94,9.0,8.0,9.0,9.0,9.0,62/80,"La Union, Nariño, Colombia",$18.50/12 ounces,Light,Roadmap CoffeeWorks,"Lexington, Virginia"
95,9.0,9.0,9.0,9.0,9.0,60/78,"Caldas, Colombia",$28.50/12 ounces,Medium-Light,Roadmap CoffeeWorks,"Lexington, Virginia"
93,9.0,8.0,9.0,8.0,9.0,62/78,"Guji Zone, Oromia Region, Ethiopia",$22.00/12 ounces,Medium-Light,Jaunt Coffee Roasters,"San Diego, California"
94,9.0,8.0,9.0,9.0,9.0,58/76,"Planadas, Tolima, Colombia",$24.00/8 ounces,Medium-Light,Jaunt Coffee Roasters,"San Diego, California"
95,9.0,9.0,9.0,9.0,9.0,60/78,"Gedeb District, Gedeo Zone, southern Ethiopia",$22.00/12 ounces,Medium-Light,Red Rooster Coffee Roaster,"Floyd, Virginia"
93,9.0,8.0,9.0,8.0,9.0,57/74,"Jinotega, Nicaragua",$17.50/12 ounces,Medium-Light,RamsHead Coffee Roasters,"Bozeman, Montana"
96,9.0,9.0,10.0,8.0,10.0,58/78,"Holualoa, North Kona growing district, “Big Island” of Hawai’i",$54.95/8 ounces,Medium-Light,Hula Daddy Kona Coffee,"Holualoa, Hawai’i"
93,,8.0,9.0,8.0,9.0,60/78,"Antigua growing region, Guatemala",$17.00/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
93,,8.0,9.0,8.0,9.0,57/77,"Coatepec, Veracruz State, Mexico",$17.00/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
92,8.0,8.0,8.0,9.0,9.0,58/77,"Cusco Province, Peru",NT $500/227 grams,Medium-Light,CafeTaster,"Taipei City, Taiwan"
95,9.0,9.0,9.0,9.0,9.0,62/77,"Nyeri growing region, south-central Kenya",NT $600/227 grams,Medium-Light,CafeTaster,"Taipei City, Taiwan"
94,9.0,8.0,9.0,9.0,9.0,60/78,"Odo Shakiso District, Guji Zone, southern Ethiopia",$20.00/12 ounces,Medium-Light,Yellow Brick Coffee,"Tucson, Arizona"
92,,8.0,8.0,9.0,8.0,56/71,Ethiopia; Guatemala; Colombia; Brazil,NT $165/8 ounces,Medium-Light,Muka Coffee,"Pingtung, Taiwan"
93,9.0,8.0,9.0,8.0,9.0,76/92,"Kochere District, Gedeo Zone, Ethiopia",NT $275/200 grams,Light,Muka Coffee,"Pingtung, Taiwan"
92,8.0,8.0,9.0,8.0,9.0,57/74,"Pingtung, Taiwan",NT $888/225 grams,Medium-Light,inLove Cafe,"Taichung, Taiwan"
95,9.0,9.0,9.0,9.0,9.0,65/85,"Gedeo Zone, SNNP Region, southern Ethiopia",NT $550/200 grams,Light,GK Coffee,"Yilan, Taiwan"
93,8.0,8.0,9.0,9.0,9.0,60/77,"Western Province, Rwanda",$18.95/12 ounces,Medium-Light,Durango Coffee Company,"Durango, Colorado"
93,,8.0,9.0,8.0,9.0,48/66,"Holualoa, North Kona growing district, “Big Island” of Hawai’i",$23.00/8 ounces,Medium,Kona View Coffee,"Holualoa, Hawai’i"
91,8.0,7.0,9.0,8.0,9.0,45/69,"Cap Haitien, Haiti",$16.99/12 ounces,Medium,Cafe Kreyol,"Manassas, Virginia"
92,8.0,8.0,9.0,8.0,9.0,62/80,Colombia,$17.99/12 ounces,Light,Cafe Kreyol,"Manassas, Virginia"
93,8.0,8.0,9.0,9.0,9.0,45/69,Dominican Republic; Honduras,$17.99/12 ounces,Medium,Cafe Kreyol,"Manassas, Virginia"
94,9.0,8.0,9.0,9.0,9.0,58/76,"Huarango, San Ignacio, Cajamarca growing region, Peru",$17.00/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
95,9.0,9.0,9.0,9.0,9.0,64/82,"Valle del Cauca Department, Colombia",$80.00/8 ounces,Light,Nostalgia Coffee Roasters,"San Diego, California"
94,9.0,8.0,9.0,9.0,9.0,58/78,"Tolima Department, Colombia",$39.50/12 ounces,Medium-Light,Cafe Kreyol,"Manassas, Virginia"
96,9.0,9.0,9.0,9.0,10.0,59/77,"Karundu, Nyeri County, Kenya",$24.00/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
91,8.0,8.0,8.0,8.0,9.0,56/74,"Chiapas, Mexico",$16.70/12 ounces,Medium-Light,Water Street Coffee,"Kalamazoo, Michigan"
91,8.0,8.0,8.0,8.0,9.0,58/78,"La Cañada, Oaxaca, Mexico",$26.00/12 ounces,Medium-Light,Lone Coffee,"Escondido, California"
92,8.0,8.0,8.0,9.0,9.0,60/78,"Nyarita, Mexico",$25.00/14 ounces,Medium-Light,Mostra Coffee,"San Diego, California"
93,8.0,8.0,9.0,9.0,9.0,57/76,"Oaxaca, Mexico",$19.00/12 ounces,Medium-Light,Wonderstate Coffee,"Viroqua, Wisconsin"
93,8.0,8.0,9.0,9.0,9.0,54/76,"Chiapas, Mexico",$22.00/12 ounces,Medium-Light,Speckled Ax,"Portland, Maine"
93,9.0,8.0,9.0,8.0,9.0,64/80,"Las Margaritas, Chiapas State, Mexico",NT $850/240 grams,Light,Fumi Coffee Company,"Hsinchu, Taiwan"
93,8.0,8.0,9.0,9.0,9.0,56/76,"Los Altos, Chiapas State, Mexico",$16.95/16 ounces,Medium-Light,Badbeard’s Microroastery,"Portland, Oregon"
93,8.0,8.0,9.0,9.0,9.0,57/76,"Los Altos, Chiapas State, Mexico",$16.00/12 ounces,Medium-Light,Amavida Coffee Roasters,"Santa Rosa Beach, Florida"
94,9.0,8.0,9.0,9.0,9.0,61/79,"Guerrero State, Mexico",$32.25/8 ounces,Medium-Light,Revel Coffee,"Billings, Montana"
94,,8.0,9.0,9.0,9.0,58/78,"Acatenango, Chimaltenango Department, Guatemala",NT $350/8 ounces,Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
94,,8.0,9.0,9.0,9.0,56/74,"Acatenango, Chimaltenango Department, Guatemala",NT $240/8 ounces,Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
94,,8.0,9.0,9.0,9.0,56/72,"Muhanga, Rwanda",$22.00/12 ounces,Medium-Light,Temple Coffee,"Sacramento, California"
95,9.0,9.0,9.0,9.0,9.0,64/84,"Guji Zone, Oromia Region, southern Ethiopia",NT $350/4 ounces,Light,Kakalove Cafe,"Chia-Yi, Taiwan"
95,9.0,9.0,9.0,9.0,9.0,62/80,"Sidamo growing region, southern Ethiopia",NT $300/4 ounces,Light,Kakalove Cafe,"Chia-Yi, Taiwan"
95,9.0,9.0,9.0,9.0,9.0,62/80,"Agaro Gera, Jimma Zone, Oromia State, Ethiopia",$25.50/12 ounces,Light,Temple Coffee,"Sacramento, California"
96,9.0,9.0,9.0,9.0,10.0,60/77,"Nyeri growing region, south-central Kenya",NT $390/8 ounces,Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
94,9.0,8.0,9.0,9.0,9.0,60/78,"Holualoa, Kona, Big Island of Hawai’i",$49.00/10 ounces,Medium-Light,Big Island Coffee Roasters,"Mountain View, Hawaii"
94,9.0,8.0,9.0,9.0,9.0,62/80,"Holualoa, Kona, Big Island of Hawai’i",$29.00/4 ounces,Light,Big Island Coffee Roasters,"Mountain View, Hawaii"
92,8.0,8.0,9.0,8.0,9.0,62/81,"Nyeri growing region, south-central Kenya",NT $500/8 ounces,Light,Chousin Coffee Collection,"Xinbei, Taiwan"
92,8.0,8.0,9.0,8.0,9.0,52/70,"Lam Dong Province, Vietnam",$25.00/12 ounces,Medium-Light,Paradise Roasters,"Minneapolis, Minnesota"
93,8.0,8.0,9.0,9.0,9.0,65/82,"Pichincha Province, Ecuador",NT $450/8 ounces,Light,Chousin Coffee Collection,"Xinbei, Taiwan"
94,9.0,8.0,9.0,9.0,9.0,64/84,"Nyeri growing region, south-central Kenya",NT $750/230 grams,Light,Dory Coffee Roasters,"New Taipei City, Taiwan"
93,,8.0,9.0,8.0,9.0,52/70,Thailand; Vietnam; Latin America,$19.00/12 ounces,Medium-Light,Paradise Roasters,"Minneapolis, Minnesota"
93,8.0,8.0,9.0,9.0,9.0,64/86,"Ka‘ū growing region, Big Island of Hawai’i",$30.00/4 ounces,Light,Paradise Roasters,"Minneapolis, Minnesota"
94,9.0,9.0,9.0,8.0,9.0,60/77,"Kiambu County, Kenya",$27.00/14 ounces,Medium-Light,Mostra Coffee,"San Diego, California"
94,9.0,9.0,9.0,8.0,9.0,62/84,"Djimma growing region, Oromia State, Ethiopia",$19.50/10 ounces,Light,Branch Street Coffee Roasters,"Youngstown, Ohio"
94,,8.0,9.0,9.0,9.0,48/67,"Alishan Township, Chiayi County, Taiwan",NT $2300/230 grams,Medium,Simon Hsieh Aroma Roast Coffees,"Taoyuan, Taiwan"
94,9.0,8.0,9.0,9.0,9.0,58/77,"Kiambu County, Kenya",$27.00/14 ounces,Medium-Light,Mostra Coffee,"San Diego, California"
96,9.0,9.0,9.0,9.0,10.0,56/74,"Holualoa, North Kona growing district, “Big Island” of Hawai’i",$47.95/8 ounces,Medium-Light,Hula Daddy Kona Coffee,"Holualoa, Hawaii"
92,8.0,7.0,9.0,9.0,9.0,65/81,Ethiopia; Colombia,NT $400/8 ounces,Light,David's Nose,"Taipei, Taiwan"
92,,8.0,8.0,9.0,9.0,57/77,Ethiopia; Honduras,NT $400/8 ounces,Medium-Light,David's Nose,"Taipei, Taiwan"
94,9.0,8.0,9.0,9.0,9.0,60/77,"Embu County, Kenya",NT $400/8 ounces,Medium-Light,David's Nose,"Taipei, Taiwan"
92,8.0,8.0,8.0,9.0,9.0,46/72,Not disclosed,$16.95/12 ounces,Medium,Roadmap CoffeeWorks,"Lexington, Virginia"
94,9.0,8.0,9.0,9.0,9.0,60/78,"Nyeri growing region, south-central Kenya",$21.95/12 ounces,Medium-Light,Roadmap CoffeeWorks,"Lexington, Virginia"
94,9.0,8.0,9.0,9.0,9.0,62/77,"Guji Zone, Oromia Region, Southern Ethiopia",NT $550/200 grams,Medium-Light,GK Coffee,"Yilan, Taiwan"
95,9.0,9.0,9.0,9.0,9.0,65/82,"Guji Zone, Oromia Region, Southern Ethiopia",NT $550/200 grams,Light,GK Coffee,"Yilan, Taiwan"
94,9.0,8.0,9.0,9.0,9.0,58/74,"Congonama, Loja, Ecuador",$20.00/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
93,9.0,8.0,9.0,8.0,9.0,65/81,"Bench-Maji Zone, southern Ethiopia",NT $520/227 grams,Light,Taster's Coffee,"New Taipei City, Taiwan"
92,8.0,8.0,8.0,9.0,9.0,62/78,"La Dalia, Matagalpa Department, northern Nicaragua",$18.00/12 ounces,Medium-Light,Equator Coffees,"San Rafael, California"
93,9.0,8.0,9.0,8.0,9.0,59/77,"Nariño Department, Colombia",$19.00/12 ounces,Medium-Light,Press Coffee,"Phoenix, Arizona"
94,9.0,8.0,9.0,9.0,9.0,58/78,"Cusco Region, Peru",$26.00/12 ounces,Medium-Light,Press Coffee,"Phoenix, Arizona"
94,9.0,8.0,9.0,9.0,9.0,60/77,"Trujillo, Valle del Cauca Department, Colombia",$26.00/12 ounces,Medium-Light,Equator Coffees,"San Rafael, California"
92,8.0,8.0,9.0,9.0,8.0,58/76,"Mathira West District, Nyeri County, Kenya",$15.00/8 ounces,Medium-Light,Vivid Coffee,"Burlington, Vermont"
92,8.0,8.0,9.0,8.0,9.0,50/68,"Yirgacheffe growing region, southern Ethiopia",$20.00/12 ounces,Medium,Sightseer Coffee,"Austin, Texas"
93,9.0,8.0,9.0,8.0,9.0,58/78,"Yirgacheffe growing region, southern Ethiopia",$18.00/12 ounces,Medium-Light,Swelter Coffee,"El Cerrito, California"
93,8.0,8.0,9.0,9.0,9.0,62/82,"Tarrazu growing region, Costa Rica",NT $680/230 grams,Light,Rest Coffee Roasters,"Banqiao, New Taipei City, Taiwan"
93,9.0,8.0,9.0,8.0,9.0,58/76,"Nyeri County, Kenya",$23.50/12 ounces,Medium-Light,ILSE Coffee Roasters,"North Canaan, Connecticut"
93,9.0,8.0,9.0,8.0,9.0,57/75,"Nyeri County, Kenya",$18.05/12 ounces,Medium-Light,Blanchard's Coffee,"Richmond, Virginia"
94,9.0,8.0,9.0,9.0,9.0,64/86,"Pijao, Quindio Department, Colombia",CAD $30.00/250 grams,Light,The Angry Roaster,"Toronto, Canada"
92,8.0,7.0,9.0,9.0,9.0,58/77,"Nariño, Colombia",$25.00/12 ounces,Medium-Light,Old World Coffee Lab,"Reno, Nevada"
93,9.0,8.0,9.0,8.0,9.0,57/73,"Tarrazú, Costa Rica",$25.00/12 ounces,Medium-Light,Old World Coffee Lab,"Reno, Nevada"
95,9.0,8.0,10.0,9.0,9.0,72/90,"Guji Zone, Oromia Region, southern Ethiopia",$12.50/100 grams,Light,SOT Coffee Roaster,"Osaka, Japan"
90,7.0,7.0,8.0,9.0,9.0,52/70,Colombia,$13.00/250 grams,Medium-Light,Cimarron Coffee Roasters,"Montrose, Colorado"
93,8.0,8.0,9.0,9.0,9.0,62/80,"Sidamo growing region, Ethiopia",NT $450/200 grams,Light,Golin Coffee Roasters,"New Taipei City, Taiwan"
92,9.0,8.0,8.0,8.0,9.0,64/80,"Yirgacheffe growing region, southern Ethiopia",NT $500/200 grams,Light,Golin Coffee Roasters,"New Taipei City, Taiwan"
92,8.0,8.0,9.0,8.0,9.0,56/73,"Yirgacheffe growing region, southern Ethiopia",$13.00/250 grams,Medium-Light,Cimarron Coffee Roasters,"Montrose, Colorado"
92,8.0,8.0,9.0,8.0,9.0,65/80,"Yirgacheffe growing region, southern Ethiopia",NT $450/200 grams,Light,Golin Coffee Roasters,"New Taipei City, Taiwan"
92,8.0,8.0,8.0,9.0,9.0,59/76,"Guji Zone, Oromia Region, Ethiopia",$13.00/250 grams,Medium-Light,Cimarron Coffee Roasters,"Montrose, Colorado"
94,9.0,8.0,9.0,9.0,9.0,58/76,"Nyeri growing region, south-central Kenya",$14.00/250 grams,Medium-Light,Cimarron Coffee Roasters,"Montrose, Colorado"
93,,8.0,9.0,8.0,9.0,58/77,"Masaguara, Intibucá Department, Honduras",NT $200/8 ounces,Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
